continent,country_code,country_name,level1_name,level1_type,level2_name,level2_type,level3_name,level3_type,name,type,parent_name,parent_type,parent_slug,parent_import_key,display_name,slug,import_key,leaf_level,leaf_code,leaf_type,path
Europe,AD,Principality of Andorra,Canillo,Parish,,,,,Canillo,Parish,Principality of Andorra,country,europe/principality-of-andorra,AD::country,"Canillo, Principality of Andorra, Europe",europe/principality-of-andorra/canillo,AD::AD-02::1::canillo::europe::principality-of-andorra::canillo,1,AD-02,Parish,Europe > Principality of Andorra > Canillo
Europe,AD,Principality of Andorra,Encamp,Parish,,,,,Encamp,Parish,Principality of Andorra,country,europe/principality-of-andorra,AD::country,"Encamp, Principality of Andorra, Europe",europe/principality-of-andorra/encamp,AD::AD-03::1::encamp::europe::principality-of-andorra::encamp,1,AD-03,Parish,Europe > Principality of Andorra > Encamp
Europe,AD,Principality of Andorra,La Massana,Parish,,,,,La Massana,Parish,Principality of Andorra,country,europe/principality-of-andorra,AD::country,"La Massana, Principality of Andorra, Europe",europe/principality-of-andorra/la-massana,AD::AD-04::1::la-massana::europe::principality-of-andorra::la-massana,1,AD-04,Parish,Europe > Principality of Andorra > La Massana
Europe,AD,Principality of Andorra,Ordino,Parish,,,,,Ordino,Parish,Principality of Andorra,country,europe/principality-of-andorra,AD::country,"Ordino, Principality of Andorra, Europe",europe/principality-of-andorra/ordino,AD::AD-05::1::ordino::europe::principality-of-andorra::ordino,1,AD-05,Parish,Europe > Principality of Andorra > Ordino
Europe,AD,Principality of Andorra,Sant Julià de Lòria,Parish,,,,,Sant Julià de Lòria,Parish,Principality of Andorra,country,europe/principality-of-andorra,AD::country,"Sant Julià de Lòria, Principality of Andorra, Europe",europe/principality-of-andorra/sant-julia-de-loria,AD::AD-06::1::sant-julia-de-loria::europe::principality-of-andorra::sant-julia-de-loria,1,AD-06,Parish,Europe > Principality of Andorra > Sant Julià de Lòria
Europe,AD,Principality of Andorra,Andorra la Vella,Parish,,,,,Andorra la Vella,Parish,Principality of Andorra,country,europe/principality-of-andorra,AD::country,"Andorra la Vella, Principality of Andorra, Europe",europe/principality-of-andorra/andorra-la-vella,AD::AD-07::1::andorra-la-vella::europe::principality-of-andorra::andorra-la-vella,1,AD-07,Parish,Europe > Principality of Andorra > Andorra la Vella
Europe,AD,Principality of Andorra,Escaldes-Engordany,Parish,,,,,Escaldes-Engordany,Parish,Principality of Andorra,country,europe/principality-of-andorra,AD::country,"Escaldes-Engordany, Principality of Andorra, Europe",europe/principality-of-andorra/escaldes-engordany,AD::AD-08::1::escaldes-engordany::europe::principality-of-andorra::escaldes-engordany,1,AD-08,Parish,Europe > Principality of Andorra > Escaldes-Engordany
Asia,AE,United Arab Emirates,‘Ajmān,Emirate,,,,,‘Ajmān,Emirate,United Arab Emirates,country,asia/united-arab-emirates,AE::country,"‘Ajmān, United Arab Emirates, Asia",asia/united-arab-emirates/ajman,AE::AE-AJ::1::ajman::asia::united-arab-emirates::ajman,1,AE-AJ,Emirate,Asia > United Arab Emirates > ‘Ajmān
Asia,AE,United Arab Emirates,Abū Z̧aby,Emirate,,,,,Abū Z̧aby,Emirate,United Arab Emirates,country,asia/united-arab-emirates,AE::country,"Abū Z̧aby, United Arab Emirates, Asia",asia/united-arab-emirates/abu-zaby,AE::AE-AZ::1::abu-zaby::asia::united-arab-emirates::abu-zaby,1,AE-AZ,Emirate,Asia > United Arab Emirates > Abū Z̧aby
Asia,AE,United Arab Emirates,Dubayy,Emirate,,,,,Dubayy,Emirate,United Arab Emirates,country,asia/united-arab-emirates,AE::country,"Dubayy, United Arab Emirates, Asia",asia/united-arab-emirates/dubayy,AE::AE-DU::1::dubayy::asia::united-arab-emirates::dubayy,1,AE-DU,Emirate,Asia > United Arab Emirates > Dubayy
Asia,AE,United Arab Emirates,Al Fujayrah,Emirate,,,,,Al Fujayrah,Emirate,United Arab Emirates,country,asia/united-arab-emirates,AE::country,"Al Fujayrah, United Arab Emirates, Asia",asia/united-arab-emirates/al-fujayrah,AE::AE-FU::1::al-fujayrah::asia::united-arab-emirates::al-fujayrah,1,AE-FU,Emirate,Asia > United Arab Emirates > Al Fujayrah
Asia,AE,United Arab Emirates,Ra’s al Khaymah,Emirate,,,,,Ra’s al Khaymah,Emirate,United Arab Emirates,country,asia/united-arab-emirates,AE::country,"Ra’s al Khaymah, United Arab Emirates, Asia",asia/united-arab-emirates/ras-al-khaymah,AE::AE-RK::1::ras-al-khaymah::asia::united-arab-emirates::ras-al-khaymah,1,AE-RK,Emirate,Asia > United Arab Emirates > Ra’s al Khaymah
Asia,AE,United Arab Emirates,Ash Shāriqah,Emirate,,,,,Ash Shāriqah,Emirate,United Arab Emirates,country,asia/united-arab-emirates,AE::country,"Ash Shāriqah, United Arab Emirates, Asia",asia/united-arab-emirates/ash-shariqah,AE::AE-SH::1::ash-shariqah::asia::united-arab-emirates::ash-shariqah,1,AE-SH,Emirate,Asia > United Arab Emirates > Ash Shāriqah
Asia,AE,United Arab Emirates,Umm al Qaywayn,Emirate,,,,,Umm al Qaywayn,Emirate,United Arab Emirates,country,asia/united-arab-emirates,AE::country,"Umm al Qaywayn, United Arab Emirates, Asia",asia/united-arab-emirates/umm-al-qaywayn,AE::AE-UQ::1::umm-al-qaywayn::asia::united-arab-emirates::umm-al-qaywayn,1,AE-UQ,Emirate,Asia > United Arab Emirates > Umm al Qaywayn
Asia,AF,Islamic Republic of Afghanistan,Balkh,Province,,,,,Balkh,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Balkh, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/balkh,AF::AF-BAL::1::balkh::asia::islamic-republic-of-afghanistan::balkh,1,AF-BAL,Province,Asia > Islamic Republic of Afghanistan > Balkh
Asia,AF,Islamic Republic of Afghanistan,Bāmyān,Province,,,,,Bāmyān,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Bāmyān, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/bamyan,AF::AF-BAM::1::bamyan::asia::islamic-republic-of-afghanistan::bamyan,1,AF-BAM,Province,Asia > Islamic Republic of Afghanistan > Bāmyān
Asia,AF,Islamic Republic of Afghanistan,Bādghīs,Province,,,,,Bādghīs,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Bādghīs, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/badghis,AF::AF-BDG::1::badghis::asia::islamic-republic-of-afghanistan::badghis,1,AF-BDG,Province,Asia > Islamic Republic of Afghanistan > Bādghīs
Asia,AF,Islamic Republic of Afghanistan,Badakhshān,Province,,,,,Badakhshān,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Badakhshān, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/badakhshan,AF::AF-BDS::1::badakhshan::asia::islamic-republic-of-afghanistan::badakhshan,1,AF-BDS,Province,Asia > Islamic Republic of Afghanistan > Badakhshān
Asia,AF,Islamic Republic of Afghanistan,Baghlān,Province,,,,,Baghlān,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Baghlān, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/baghlan,AF::AF-BGL::1::baghlan::asia::islamic-republic-of-afghanistan::baghlan,1,AF-BGL,Province,Asia > Islamic Republic of Afghanistan > Baghlān
Asia,AF,Islamic Republic of Afghanistan,Dāykundī,Province,,,,,Dāykundī,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Dāykundī, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/daykundi,AF::AF-DAY::1::daykundi::asia::islamic-republic-of-afghanistan::daykundi,1,AF-DAY,Province,Asia > Islamic Republic of Afghanistan > Dāykundī
Asia,AF,Islamic Republic of Afghanistan,Farāh,Province,,,,,Farāh,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Farāh, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/farah,AF::AF-FRA::1::farah::asia::islamic-republic-of-afghanistan::farah,1,AF-FRA,Province,Asia > Islamic Republic of Afghanistan > Farāh
Asia,AF,Islamic Republic of Afghanistan,Fāryāb,Province,,,,,Fāryāb,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Fāryāb, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/faryab,AF::AF-FYB::1::faryab::asia::islamic-republic-of-afghanistan::faryab,1,AF-FYB,Province,Asia > Islamic Republic of Afghanistan > Fāryāb
Asia,AF,Islamic Republic of Afghanistan,Ghaznī,Province,,,,,Ghaznī,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Ghaznī, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/ghazni,AF::AF-GHA::1::ghazni::asia::islamic-republic-of-afghanistan::ghazni,1,AF-GHA,Province,Asia > Islamic Republic of Afghanistan > Ghaznī
Asia,AF,Islamic Republic of Afghanistan,Ghōr,Province,,,,,Ghōr,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Ghōr, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/ghor,AF::AF-GHO::1::ghor::asia::islamic-republic-of-afghanistan::ghor,1,AF-GHO,Province,Asia > Islamic Republic of Afghanistan > Ghōr
Asia,AF,Islamic Republic of Afghanistan,Helmand,Province,,,,,Helmand,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Helmand, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/helmand,AF::AF-HEL::1::helmand::asia::islamic-republic-of-afghanistan::helmand,1,AF-HEL,Province,Asia > Islamic Republic of Afghanistan > Helmand
Asia,AF,Islamic Republic of Afghanistan,Herāt,Province,,,,,Herāt,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Herāt, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/herat,AF::AF-HER::1::herat::asia::islamic-republic-of-afghanistan::herat,1,AF-HER,Province,Asia > Islamic Republic of Afghanistan > Herāt
Asia,AF,Islamic Republic of Afghanistan,Jowzjān,Province,,,,,Jowzjān,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Jowzjān, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/jowzjan,AF::AF-JOW::1::jowzjan::asia::islamic-republic-of-afghanistan::jowzjan,1,AF-JOW,Province,Asia > Islamic Republic of Afghanistan > Jowzjān
Asia,AF,Islamic Republic of Afghanistan,Kābul,Province,,,,,Kābul,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Kābul, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/kabul,AF::AF-KAB::1::kabul::asia::islamic-republic-of-afghanistan::kabul,1,AF-KAB,Province,Asia > Islamic Republic of Afghanistan > Kābul
Asia,AF,Islamic Republic of Afghanistan,Kandahār,Province,,,,,Kandahār,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Kandahār, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/kandahar,AF::AF-KAN::1::kandahar::asia::islamic-republic-of-afghanistan::kandahar,1,AF-KAN,Province,Asia > Islamic Republic of Afghanistan > Kandahār
Asia,AF,Islamic Republic of Afghanistan,Kāpīsā,Province,,,,,Kāpīsā,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Kāpīsā, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/kapisa,AF::AF-KAP::1::kapisa::asia::islamic-republic-of-afghanistan::kapisa,1,AF-KAP,Province,Asia > Islamic Republic of Afghanistan > Kāpīsā
Asia,AF,Islamic Republic of Afghanistan,Kunduz,Province,,,,,Kunduz,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Kunduz, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/kunduz,AF::AF-KDZ::1::kunduz::asia::islamic-republic-of-afghanistan::kunduz,1,AF-KDZ,Province,Asia > Islamic Republic of Afghanistan > Kunduz
Asia,AF,Islamic Republic of Afghanistan,Khōst,Province,,,,,Khōst,Province,Islamic Republic of Afghanistan,country,asia/islamic-republic-of-afghanistan,AF::country,"Khōst, Islamic Republic of Afghanistan, Asia",asia/islamic-republic-of-afghanistan/khost,AF::AF-KHO::1::khost::asia::islamic-republic-of-afghanistan::khost,1,AF-KHO,Province,Asia > Islamic Republic of Afghanistan > Khōst
